title,url,company,location,tags,easily_apply,description,page
"Software Engineer - Robot Software, AV Stack",https://uk.indeed.com/viewjob?jk=5ceace7f9c38be1e,Wayve,Hybrid work in London,Full-time,No,"Our advancedAIsoftware and foundation models enable vehicles to perceive, understand, and navigate any complex environment, enhancing the usability and safety…",18
Software Engineer,https://uk.indeed.com/viewjob?jk=00686a92d2262779,Meta,London,,No,Lead large and complex technical efforts across manyengineersand teams from zero to one.;The ideal candidate is someone with experience working on maximizing…,18
Software Engineer,https://uk.indeed.com/viewjob?jk=dca2ea08f9021fb7,Meta,London,,No,Lead large and complex technical efforts across manyengineersand teams from zero to one.;The ideal candidate is someone with experience working on maximizing…,18
Staff Backend Engineer - ML Platform,https://uk.indeed.com/viewjob?jk=aba961c098614e13,Lightricks,London,,No,"Take a key role in designing and building our ML platform, working closely with our devopsengineers, researchers and product engineering teams.",18
Machine Learning Engineer,https://uk.indeed.com/viewjob?jk=bcf2305eb66cb017,Kraken,Hybrid work in London,Full-time,No,"You’ll work closely with otherengineersto build fast, and you’ll use Python and Kubernetes to deploy systems in production.",18
DevOps Engineer,https://uk.indeed.com/viewjob?jk=27bb9b95b884d07c,Financial Ombudsman Service,London,"£65,000 a year;Full-time+1;Company pension;On-site gym;Private medical insurance;Tech scheme;Cycle to work scheme;Discounted gym membership",No,"Working hours: 35 hours per week, full-time.;You'll be using advanced technical knowledge to ensure consistent and automated deployments, continually drive…",18
Software Engineer I,https://uk.indeed.com/viewjob?jk=19347aca722d8850,Checkout Technology Ltd,Hybrid work in London N1,,No,"At Checkout our softwareengineersdevelop the next-generation payments technologies that enable our Merchants to boost their acceptance rates, cut processing…",18
Sr AI Engineer (Fullstack - TS/Vue/NodeJS),https://uk.indeed.com/viewjob?jk=2d3f7472101b4cca,n8n,London,Full-time;Company pension,No,"Collaborate closely with otherengineersto ensureAIfeatures are reliable, performant, and scalable.;You'll build AI-powered capabilities, from natural…",18
Senior Data Scientist,https://uk.indeed.com/viewjob?jk=0eec3f3a3c551295,Microsoft,Remote in London,Full-time;Work from home,No,"Coaches juniorengineerson best practices.;Coaches and mentors less experiencedengineersas needed.;As part of our team, you will be working side-by-side with…",18
Machine Learning and AI Engineering Lead,https://uk.indeed.com/viewjob?jk=39e9abcd0cbede2d,Mars,London W1D 6AP,Full-time,No,The Machine Learning andAIEngineering Lead will oversee ML andAIsolution development and deployment as a capability served across the end-to-end Data &…,18
Principal Data Scientist - AI,https://uk.indeed.com/viewjob?jk=38dacb4f7631d654,Opus 2,Hybrid work in London,"£80,000 - £100,000 a year;Full-time;Company pension;Paid volunteer time;Cycle to work scheme;Company events",No,"Work closely withengineersand designers to embedAIcapabilities into real user workflows, ensuring that technical architecture supports meaningful product…",18
Frontend Engineer,https://uk.indeed.com/viewjob?jk=3c415f772d0d54f7,Specter Labs,London,,No,"Taking ownership of products and going all the way from ideation to shipping features.;We're early, so you'll have the opportunity to participate in decision-…",18
1x Backend Python - Mid-level Software Engineer,https://uk.indeed.com/viewjob?jk=e031c9cd72fce76a,Contilio,Hybrid work in London,Full-time,No,"This enables our enterprise customers to access connected, timely insights, make smart decisions, and eliminate problems before they happen, saving billions in…",18
Natural Language Processing (NLP) Engineer - 3/4 Month Contract,https://uk.indeed.com/viewjob?jk=b05d4db0e953242f,Samsung Electronics,Hybrid work in Staines-upon-Thames,Fixed term contract,No,Successful candidates will work on innovativeAIprojects and contribute to the dissemination of research outputs through conferences and journals.,18
Forward Deployed Engineer,https://uk.indeed.com/viewjob?jk=3f954c3464f5d3f6,Speechmatics,Hybrid work in London,Company pension,No,"As a product evangelist you'll be directly responsible for implementing our VoiceAIin demos, Proof of Concepts' and in full scale customer environments.",19
"Senior Staff Software Engineer, Perception, Autonomy",https://uk.indeed.com/viewjob?jk=e93ddca5fb7a8570,Rivian,London,,No,"Be independently responsible for the entire lifecycle of projects or features including engineering design, development, deployment, testing and maintenance.",19
Machine Learning Specialist,https://uk.indeed.com/viewjob?jk=4adee94dd4e1247e,Webtures,London,,No,Develop and implement machine learning models to address business challenges.;Understand and apply machine learning algorithms effectively.,19
"Senior Machine Learning Engineer, Perception",https://uk.indeed.com/viewjob?jk=a599a9fba7df4769,Rivian,London,,No,"Publishing internal technical guidance and mentoringengineersacross autonomy ML.;These models will support not only perception tasks (e.g., object detection,…",19
Senior Machine Learning Engineer (GenAI),https://uk.indeed.com/viewjob?jk=6559fea7b721bc3d,Deliveroo,London,Annual leave,No,"As an MLE, you will work within a multidisciplinary team of machine learningengineersand softwareengineersbuilding the AgenticAIplatform, and liaise…",19
ML Staff Engineer,https://uk.indeed.com/viewjob?jk=208f762a0e4803ae,"Method, a GlobalLogic company",London,Pay information not provided;Company pension,No,"Method is part of GlobalLogic, a digital product engineering company.;We are seeking a highly experienced and versatile Staff MLEngineerto join our dynamic…",20
Senior Software Engineer,https://uk.indeed.com/viewjob?jk=6e4d8abf97f7600a,ANNA Money,Hybrid work in London WC1N 1PG,"£100,000 - £120,000 a year;Full-time;Childcare;Company pension;Private medical insurance;Work from home",No,"Collaborate with a cross-functional team ofengineers, product managers, UX designers, and mobile developers to build new features.",20
Staff/Lead Fullstack Engineer (Data Structures Expert),https://uk.indeed.com/viewjob?jk=af74b77e2ab76331,Mimica,Remote in London,£600 - £650 a day;Full-time;Annual leave;Flexible schedule,No,"Background working in fast-paced, successful scale-up environments or as a foundingengineer, with a track record of delivering value quickly and iteratively.",20
